主题,配置字段,资源作用,图片缩略图（可点开看标准图）,尺寸,配置路径,实际文件路径,用途
water / 水主题,complexGround.0111,复杂拼接地块，四格拼接状态 key=0111。,assets/resources/texture/match3/skin/current/ground/border/water/w_0111.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0111,assets/resources/texture/match3/skin/current/ground/border/water/w_0111.png,复杂地块拼接图
water / 水主题,complexGround.1000,复杂拼接地块，四格拼接状态 key=1000。,assets/resources/texture/match3/skin/current/ground/border/water/w_1000.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1000,assets/resources/texture/match3/skin/current/ground/border/water/w_1000.png,复杂地块拼接图
water / 水主题,complexGround.1001,复杂拼接地块，四格拼接状态 key=1001。,assets/resources/texture/match3/skin/current/ground/border/water/w_1001.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1001,assets/resources/texture/match3/skin/current/ground/border/water/w_1001.png,复杂地块拼接图
water / 水主题,complexGround.1010,复杂拼接地块，四格拼接状态 key=1010。,assets/resources/texture/match3/skin/current/ground/border/water/w_1010.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1010,assets/resources/texture/match3/skin/current/ground/border/water/w_1010.png,复杂地块拼接图
water / 水主题,complexGround.1011,复杂拼接地块，四格拼接状态 key=1011。,assets/resources/texture/match3/skin/current/ground/border/water/w_1011.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1011,assets/resources/texture/match3/skin/current/ground/border/water/w_1011.png,复杂地块拼接图
water / 水主题,complexGround.1100,复杂拼接地块，四格拼接状态 key=1100。,assets/resources/texture/match3/skin/current/ground/border/water/w_1100.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1100,assets/resources/texture/match3/skin/current/ground/border/water/w_1100.png,复杂地块拼接图
water / 水主题,complexGround.1101,复杂拼接地块，四格拼接状态 key=1101。,assets/resources/texture/match3/skin/current/ground/border/water/w_1101.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1101,assets/resources/texture/match3/skin/current/ground/border/water/w_1101.png,复杂地块拼接图
water / 水主题,complexGround.1110,复杂拼接地块，四格拼接状态 key=1110。,assets/resources/texture/match3/skin/current/ground/border/water/w_1110.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1110,assets/resources/texture/match3/skin/current/ground/border/water/w_1110.png,复杂地块拼接图
water / 水主题,complexGround.1111,复杂拼接地块，四格拼接状态 key=1111。,assets/resources/texture/match3/skin/current/ground/border/water/w_1111.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_1111,assets/resources/texture/match3/skin/current/ground/border/water/w_1111.png,复杂地块拼接图
grass / 草地主题,cellBase[0],格子底图；多张时按格子坐标交替显示。,assets/resources/texture/match3/skin/current/ground/border/grass_bg_1.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_bg_1,assets/resources/texture/match3/skin/current/ground/border/grass_bg_1.png,棋盘格子底图
grass / 草地主题,upBorders.0001,棋盘外圈上层边框，形状 key=0001。,assets/resources/texture/match3/skin/current/ground/border/grass_0001.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_0001,assets/resources/texture/match3/skin/current/ground/border/grass_0001.png,棋盘边框图
grass / 草地主题,upBorders.0011,棋盘外圈上层边框，形状 key=0011。,assets/resources/texture/match3/skin/current/ground/border/grass_0011.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_0011,assets/resources/texture/match3/skin/current/ground/border/grass_0011.png,棋盘边框图
grass / 草地主题,upBorders.0101,棋盘外圈上层边框，形状 key=0101。,assets/resources/texture/match3/skin/current/ground/border/grass_0101.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_0101,assets/resources/texture/match3/skin/current/ground/border/grass_0101.png,棋盘边框图
grass / 草地主题,upBorders.0110,棋盘外圈上层边框，形状 key=0110。,assets/resources/texture/match3/skin/current/ground/border/grass_0110.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_0110,assets/resources/texture/match3/skin/current/ground/border/grass_0110.png,棋盘边框图
grass / 草地主题,upBorders.0111,棋盘外圈上层边框，形状 key=0111。,assets/resources/texture/match3/skin/current/ground/border/grass_0111.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_0111,assets/resources/texture/match3/skin/current/ground/border/grass_0111.png,棋盘边框图
grass / 草地主题,middleBorders.0100,棋盘内侧衔接边框，形状 key=0100。,assets/resources/texture/match3/skin/current/ground/border/grass_m0100.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_m0100,assets/resources/texture/match3/skin/current/ground/border/grass_m0100.png,棋盘内侧边框图
grass / 草地主题,middleBorders.1000,棋盘内侧衔接边框，形状 key=1000。,assets/resources/texture/match3/skin/current/ground/border/grass_m1000.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_m1000,assets/resources/texture/match3/skin/current/ground/border/grass_m1000.png,棋盘内侧边框图
grass / 草地主题,middleBorders.1100,棋盘内侧衔接边框，形状 key=1100。,assets/resources/texture/match3/skin/current/ground/border/grass_m1100.png,85 x 85 px,texture/match3/skin/current/ground/border/grass_m1100,assets/resources/texture/match3/skin/current/ground/border/grass_m1100.png,棋盘内侧边框图
grass / 草地主题,complexGround,复杂拼接地块；当前主题未配置则继续使用默认资源或无拼接图。,,,,,复杂地块拼接图
sand / 沙滩主题,cellBase,格子底图；为空时使用 prefab 默认底图。,,,,,棋盘格子底图
sand / 沙滩主题,upBorders.0001,棋盘外圈上层边框，形状 key=0001。,assets/resources/texture/match3/skin/current/ground/border/sand_0001.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_0001,assets/resources/texture/match3/skin/current/ground/border/sand_0001.png,棋盘边框图
sand / 沙滩主题,upBorders.0011,棋盘外圈上层边框，形状 key=0011。,assets/resources/texture/match3/skin/current/ground/border/sand_0011.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_0011,assets/resources/texture/match3/skin/current/ground/border/sand_0011.png,棋盘边框图
sand / 沙滩主题,upBorders.0101,棋盘外圈上层边框，形状 key=0101。,assets/resources/texture/match3/skin/current/ground/border/sand_0101.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_0101,assets/resources/texture/match3/skin/current/ground/border/sand_0101.png,棋盘边框图
sand / 沙滩主题,upBorders.0110,棋盘外圈上层边框，形状 key=0110。,assets/resources/texture/match3/skin/current/ground/border/sand_0110.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_0110,assets/resources/texture/match3/skin/current/ground/border/sand_0110.png,棋盘边框图
sand / 沙滩主题,upBorders.0111,棋盘外圈上层边框，形状 key=0111。,assets/resources/texture/match3/skin/current/ground/border/sand_0111.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_0111,assets/resources/texture/match3/skin/current/ground/border/sand_0111.png,棋盘边框图
sand / 沙滩主题,middleBorders.0100,棋盘内侧衔接边框，形状 key=0100。,assets/resources/texture/match3/skin/current/ground/border/sand_m0100.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_m0100,assets/resources/texture/match3/skin/current/ground/border/sand_m0100.png,棋盘内侧边框图
sand / 沙滩主题,middleBorders.1000,棋盘内侧衔接边框，形状 key=1000。,assets/resources/texture/match3/skin/current/ground/border/sand_m1000.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_m1000,assets/resources/texture/match3/skin/current/ground/border/sand_m1000.png,棋盘内侧边框图
sand / 沙滩主题,middleBorders.1100,棋盘内侧衔接边框，形状 key=1100。,assets/resources/texture/match3/skin/current/ground/border/sand_m1100.png,85 x 85 px,texture/match3/skin/current/ground/border/sand_m1100,assets/resources/texture/match3/skin/current/ground/border/sand_m1100.png,棋盘内侧边框图
sand / 沙滩主题,complexGround,复杂拼接地块；当前主题未配置则继续使用默认资源或无拼接图。,,,,,复杂地块拼接图
通用地块,ground.lotusleaf,荷叶图；传送带/流水格上的装饰图。,assets/resources/texture/match3/skin/current/ground/border/lotusleaf.png,170 x 170 px,texture/match3/skin/current/ground/border/lotusleaf,assets/resources/texture/match3/skin/current/ground/border/lotusleaf.png,地块挂饰图
通用地块,ground.girlRoad,女孩路径底图。,assets/resources/texture/match3/skin/current/ground/border/girlRoad.png,84 x 84 px,texture/match3/skin/current/ground/border/girlRoad,assets/resources/texture/match3/skin/current/ground/border/girlRoad.png,路径地块图
通用地块,ground.ivyPrefab,藤蔓/水草 prefab；为空时使用 prefab 默认绑定。,,,,,复杂动画prefab
通用地块,ground.exitPrefab,出口 prefab；为空时使用 prefab 默认绑定。,,,,,出口prefab
通用地块,ground.shanhuAniPrefab,蘑菇/珊瑚消除动画 prefab；为空时使用 prefab 默认绑定。,,,,,消除动画prefab
通用收集物,collect.turtlesPrefab,乌龟收集物 prefab；为空时使用 prefab 默认绑定。,,,,,收集物prefab
通用收集物,collect.crabPrefab,螃蟹收集物 prefab；为空时使用 prefab 默认绑定。,,,,,收集物prefab
通用收集物,collect.monkeyTreePrefab,猴子树 prefab；为空时使用 prefab 默认绑定。,,,,,收集物prefab
通用收集物,collect.groundBasePrefab,格子底板 prefab；为空时使用 prefab 默认绑定。,,,,,棋盘底板prefab
